nombre_original;nombre_canonico;fue_fusionado;frecuencia_total;num_documentos;ids_documentos
"""AGREED BACKGROUND SUMMARY OF US -FRG COINVERSATIONS IN WASHINGTON""";"""AGREED BACKGROUND SUMMARY OF US -FRG COINVERSATIONS IN WASHINGTON""";no;1;1;1755
"""Novedades""";"""Novedades""";no;1;1;1763
"""guerra De Las Vascongadas"" (zona Geográfica)";"""guerra De Las Vascongadas"" (zona Geográfica)";no;1;1;1844
"""los Inestrillos""";"""los Inestrillos""";no;1;1;1788
(la Última Línea Queda Inconclusa Y No Proporciona Más Lugares);(la Última Línea Queda Inconclusa Y No Proporciona Más Lugares);no;1;1;1801
(no Hay Lugares Mencionados En El Texto Proporcionado.);(no Hay Lugares Mencionados En El Texto Proporcionado.);no;1;1;1694
(note;(note;no;1;1;1722
00 119-CS;00 119-CS;no;1;1;1741
01-04-82;01-04-82;no;1;1;1834
01259;01259;no;1;1;1767
02-03-82;02-03-82;no;1;1;1853
02-04-82;02-04-82;no;1;1;1833
03-05-82;03-05-82;no;1;1;1819
04 JUN. 1982;04 JUN. 1982;no;1;1;1808
04-05-82;04-05-82;no;1;1;1818
04.03.82;04.03.82;no;1;1;1852
05-04-82;05-04-82;no;1;1;1830
05-05-82;05-05-82;no;1;1;1817
05.04.82;05.04.82;no;1;1;1837
06-05-82;06-05-82;no;1;1;1816
06.04.82;06.04.82;no;1;1;1832
07.04.82;07.04.82;no;1;1;1831
08 JUN. 1982;08 JUN. 1982;no;1;1;1806
08-01-82;08-01-82;no;1;1;1713
08-03-82;08-03-82;no;1;1;1851
09-03-82;09-03-82;no;1;1;1850
10 Defensores;10 Defensores;no;1;1;1841
10 de MARZO de 1981;10 de MARZO de 1981;no;1;1;1755
10 de marzo de 1931;10 de marzo de 1931;no;1;1;1754
10 de mayo de 1.983;10 de mayo de 1.983;no;1;1;1783
10 de noviembre;10 de noviembre;no;1;1;1723
10'323.2 (48)-17/31 AS;10'323.2 (48)-17/31 AS;no;1;1;1771
10-04-81;10-04-81;no;1;1;1797
10-05-82;10-05-82;no;1;1;1815
11/3/81;11/3/81;no;1;1;1759
12 (fecha de remisión de interrogatorio);12 (fecha de remisión de interrogatorio);no;1;1;1724
12-03-82;12-03-82;no;1;1;1848
12-05-82;12-05-82;no;1;1;1814
12-11-81;12-11-81;no;1;1;1784
13-04-82;13-04-82;no;1;1;1829
13. MAR. 1921;13. MAR. 1921;no;1;1;1761
14 Letrados;14 Letrados;no;1;1;1841
14 MAIO 1981;14 MAIO 1981;no;1;1;1782
14 de Diciembre de 1981;14 de Diciembre de 1981;no;1;1;1791
14 de mayo 1981;14 de mayo 1981;no;1;1;1764
14-04-82;14-04-82;no;1;1;1828
15-03-82;15-03-82;no;1;1;1847
16 de Junio de 1981;16 de Junio de 1981;no;2;2;"1731; 1762"
16 de marzo de 1981;16 de marzo de 1981;no;1;1;1757
16 de noviembre;16 de noviembre;no;1;1;1723
16 mayo 1981;16 mayo 1981;no;1;1;1764
16-03-82;16-03-82;no;1;1;1846
16.04.82;16.04.82;no;1;1;1827
17 de Noviembre de 1981;17 de Noviembre de 1981;no;1;1;1713
17 defensores;17 defensores;no;1;1;1844
17'40 horas;17'40 horas;no;1;1;1836
17.03.82;17.03.82;no;1;1;1845
17.05.82;17.05.82;no;1;1;1813
1700;1700;no;1;1;1794
18 Letrados Defensores;18 Letrados Defensores;no;1;1;1849
18 MAYO 1981;18 MAYO 1981;no;1;1;1763
18 de marzo de 1981;18 de marzo de 1981;no;2;2;"1778; 1779"
18-05-82;18-05-82;no;1;1;1812
