nombre_canonico,num_variantes_fusionadas,variantes,num_documentos_total,ids_documentos
Teniente General Milans Del Bosch,27,Capitán General Miláns Del Bosch; El General Milans; Ex-tte. General Milans Del Bosch Y Ussia; Excmo. Sr. D. Jaime Milans Del Bosch; Excmo. Sr. Teniente General D. Jaime Milans Del Bosch Y Ussia; Excmo. Sr. Tte. General D. Jaime Milans Del Bosch Y Ussia; General Milana Del Bosch; General Milans; General Milans Del Bosch; General Milán Del Bosch; General Miláns; Generales Armada Y Miláns Del Bosch; Generales Milans Del Bosch Y Armada; Jaime Milans Del Bosch Y Ussia; Milans Del Bosch; Miláns; Teniente General D. Jaime Milans Del Bosch Y Ussia; Teniente General Don Jaime Milans Del Bosch Y Ussia; Teniente General Excmo. Sr. D. Jaime Milans Del Bosch Y Ussia; Teniente General Excmo. Sr. Don Jaime Milans Del Bosch Y Ussía; Teniente General Milans; Teniente General Milans Del -- Bosch; Teniente General Milans Del Boch; Teniente General Milans Del Bosch; Teniente General Miláns; Teniente General Miláns Del Bosch; Tte. General Milans Del Bosch,34,1696; 1700; 1702; 1707; 1715; 1716; 1721; 1725; 1726; 1735; 1740; 1741; 1742; 1770; 1787; 1790; 1805; 1809; 1811; 1817; 1818; 1822; 1823; 1824; 1828; 1833; 1834; 1836; 1838; 1846; 1847; 1849; 1850; 1855
S.m. El REY,17,Juan Carlos I; Juan Carlos R.; King Juan Carlos; König Juan Carlos I. Von Spanien; Majestad; REY; REY Don Juan Carlos; REY Juan Carlos; S. M. El REY; S.m. El REY; S.m. El REY Don Juan Carlos; S.m.el REY; Seine Majestät König Juan Carlos I. Von Spanien; Su Majestad El REY; Su Majestad El REY Don Juan Carlos I; Su Majestad El REY Juan Carlos I; Su Majestad Juan Carlos I REY De España,30,1707; 1715; 1741; 1743; 1744; 1746; 1748; 1749; 1751; 1754; 1758; 1763; 1765; 1769; 1771; 1772; 1773; 1774; 1775; 1781; 1785; 1787; 1791; 1807; 1810; 1811; 1817; 1834; 1848; 1860
Excmo. Sr. Ministro De Defensa,15,El Excmo. Sr. Ministro De Defensa; El Ministerio De Relaciones Exteriores; El Ministro De Asuntos Exteriores; El Ministro De Defensa; Excm. Sr. Ministro De Asuntos Exteriores; Excmo. Señor Ministro De Asuntos Exteriores; Excmo. Señor Ministro De Defensa; Excmo. Sr. Ministro De Asuntos Exteriores; Excmo. Sr. Ministro De Defensa; Exmo. Señor Ministro De Defensa; Honorable Ministerio De Asuntos Exteriores; Ministerio De Asuntos Exteriores; Ministro De Asuntos Exteriores; Ministro De Defensa; Sr. Ministro De Defensa,31,1721; 1722; 1724; 1725; 1726; 1727; 1728; 1729; 1730; 1731; 1735; 1736; 1737; 1738; 1740; 1741; 1743; 1753; 1755; 1762; 1763; 1764; 1765; 1766; 1770; 1771; 1772; 1776; 1791; 1793; 1803
Sr. López Montero,13,El Letrado López Montero; Exmo. Sr. Don José Gabeiras Montero; General Gabeiras; José Gabeiras Montero; Juan Montero Ramirez; Letrado López Montero; Sr. López Montero; Sr. López Montero (en El Papel De Auténtico Fiscal); Sr. Montero; Teniente General Gabeiras; Teniente General Gabeiras Montero; Teniente General Gabeiras Montero (a Los Defensores); Tte. Gral. Gabeiras,14,1704; 1720; 1741; 1810; 1817; 1818; 1828; 1829; 1831; 1833; 1849; 1850; 1852; 1853
Teniente Coronel Tejero,11,Antonio; D.antonio Tejero Molina; El Teniente Coronel Tejero; Ilmos Sres. D. Antonio Tejero Molina; Su Defendido TCOL Tejero; TCOL Tejero; TCOL. Tejero; Tejero; Teniente Coronel De La Guardia Civil Don Antonio Tejero Molina; Teniente Coronel Don Antonio Tejero Molina; Teniente Coronel Tejero,38,1694; 1695; 1699; 1700; 1707; 1712; 1723; 1734; 1735; 1738; 1739; 1756; 1767; 1791; 1793; 1814; 1815; 1816; 1817; 1822; 1824; 1826; 1828; 1830; 1832; 1834; 1838; 1839; 1840; 1841; 1844; 1845; 1850; 1852; 1855; 1856; 1859; 1860
Pedro,10,Mas Oliver; Pedro; Sr. Tte. Coronel D. Pedro Mas Oliver; TCOL D. Pedro Mas Oliver; TCOL Mas Oliver; TCOL. Más; TCOL. Más Oliver; Teniente Coronel De Infantería Don Pedro Mas Oliver; Teniente Coronel Inf. D. Pedro Mas Oliver; Teniente Coronel Más,9,1694; 1702; 1730; 1742; 1824; 1844; 1852; 1859; 1860
Procesados,9,Algunos De Los Procesados En El Juicio Por El Intento De Golpe Militar De 23 De Febrero De 1981; Los Procesados; Los Procesados Por El 23-f; Militares Procesados; Procesados; Procesados Causa 2/81; Procesados En La Causa 2/81; Procesados Principales Y De Reconocida Vocación Monárquica; Procesados Y Condenados,16,1702; 1715; 1735; 1770; 1787; 1799; 1800; 1801; 1809; 1820; 1835; 1837; 1851; 1854; 1855; 1858
Capitán De Navío Menéndez,9,C. De Navío Don Camilo Mendez Vives; C.n. Menendez Vives; Camilo Menéndez Vives; Capitán De Navio D. Camilo Menendez Vives; Capitán De Navío Camilo Menéndez; Capitán De Navío D. Camilo Menendez Vives; Capitán De Navío Menéndez; Capitán De Navío Menéndez Vives; Coronel Menéndez,10,1722; 1725; 1727; 1733; 1770; 1811; 1819; 1836; 1853; 1854
Comandante Cortina,8,Comandante Cortina; Comandante De Infantería Cortina Prieto; Comandante De Infantería D. José Cortina --- Prieto; Comandante De Infantería Dem D. Jose Cortina Prieto; Cte. Cortina; Don Jose Cortina Prieto; El Mío (de Jose Cortina Prieto); Jose Cortina Prieto,17,1705; 1709; 1711; 1713; 1728; 1796; 1798; 1814; 1816; 1824; 1839; 1840; 1842; 1843; 1845; 1852; 1859
General Alcalá Galiano,8,Alcalá Galiano; El Testigo Teniente General Sáez De Santamaría; General Alcalá Galiano; General Saenz De Santamaría; General Santamaría; Generales Sáez De Santamaría Y Alcalá Galiano; Teniente General Saenz De Santamaría; Testigo General Santamaría,6,1784; 1828; 1829; 1830; 1832; 1836
