nombre_a;documentos_a;nombre_b;documentos_b;score;aprobar_fusion(si/no);motivo_revision
10 Defensores;id=1841;Defensores;id=1858 | id=1851 | id=1845 | id=1843 | id=1834 | id=1828 | id=1800 | id=1702;100.0;no;Termino generico/hub detectado automaticamente
14 Letrados;id=1841;Letrados;id=1830 | id=1825;100.0;no;Termino generico/hub detectado automaticamente
18 Letrados Defensores;id=1849;Defensores;id=1858 | id=1851 | id=1845 | id=1843 | id=1834 | id=1828 | id=1800 | id=1702;100.0;no;Termino generico/hub detectado automaticamente
18 Letrados Defensores;id=1849;Letrados;id=1830 | id=1825;100.0;no;Termino generico/hub detectado automaticamente
18 Letrados Defensores;id=1849;Letrados Defensores;id=1848;100.0;no;Termino generico/hub detectado automaticamente
7 Letrados Defensores;id=1841;Defensores;id=1858 | id=1851 | id=1845 | id=1843 | id=1834 | id=1828 | id=1800 | id=1702;100.0;no;Termino generico/hub detectado automaticamente
7 Letrados Defensores;id=1841;Letrados;id=1830 | id=1825;100.0;no;Termino generico/hub detectado automaticamente
7 Letrados Defensores;id=1841;Letrados Defensores;id=1848;100.0;no;Termino generico/hub detectado automaticamente
A (esposa Del Tte. Coronel Tejero);id=1699;Coronel;id=1788;100.0;no;Termino generico/hub detectado automaticamente
A (esposa Del Tte. Coronel Tejero);id=1699;Teniente Coronel;id=1739;100.0;no;Termino generico/hub detectado automaticamente
Abogado;id=1816;Abogado Sr. López Monteró;id=1830;100.0;no;
Abogado;id=1816;D. Julio Ortiz Ortiz Abogado Defensor Del Teniente De La Guardia Civil Izquierdo Sánchez;id=1813;100.0;no;Termino generico/hub detectado automaticamente
Abogados;id=1843;Abogados De Los Procesados En La Causa 2/81;id=1735;100.0;no;Termino generico/hub detectado automaticamente
Abogados;id=1843;Abogados Defensores;id=1830;100.0;no;Termino generico/hub detectado automaticamente
Abogados;id=1843;Los Abogados Defensores De Los Procesados;id=1787;100.0;no;Termino generico/hub detectado automaticamente
Abogados;id=1843;Otros Abogados Y Miembros Presentes En La Sesión;id=1853;100.0;no;Termino generico/hub detectado automaticamente
Abogados De Los Procesados En La Causa 2/81;id=1735;Los Procesados;id=1854;100.0;no;
Abogados De Los Procesados En La Causa 2/81;id=1735;Procesados;id=1858 | id=1851 | id=1837 | id=1835 | id=1800 | id=1799 | id=1702;100.0;no;
Abogados De Los Procesados En La Causa 2/81;id=1735;Procesados Causa 2/81;id=1820;100.0;no;
Abogados De Los Procesados En La Causa 2/81;id=1735;Procesados En La Causa 2/81;id=1735;100.0;no;
Abogados Defensores;id=1830;Defensores;id=1858 | id=1851 | id=1845 | id=1843 | id=1834 | id=1828 | id=1800 | id=1702;100.0;no;Termino generico/hub detectado automaticamente
Abogados Defensores;id=1830;Los Abogados Defensores De Los Procesados;id=1787;100.0;no;Termino generico/hub detectado automaticamente
Alcalá Galiano;id=1829;General Alcalá Galiano;id=1828;100.0;si;
Alcalá Galiano;id=1829;Generales Sáez De Santamaría Y Alcalá Galiano;id=1784;100.0;si;
Alexander Haig;id=1762;Alexander M Haig Jr;id=1758;100.0;si;
Alexander Haig;id=1762;Alexander M. Haig;id=1748 | id=1747;100.0;si;
Alexander Haig;id=1762;Honorable Alexander M. Haig;id=1752;100.0;si;
Alexander Haig;id=1762;Secretario De Estado Haig;id=1743;100.0;si;
Alexander M Haig Jr;id=1758;Secretario De Estado Haig;id=1743;100.0;si;
Alexander M. Haig;id=1748 | id=1747;Honorable Alexander M. Haig;id=1752;100.0;si;
Alexander M. Haig;id=1748 | id=1747;Secretario De Estado Haig;id=1743;100.0;si;
Alfonso;id=1694;Alfonso Armada Comyn;id=1725;100.0;si;
Alfonso;id=1694;Don Alfonso Armada Comyn;id=1724;100.0;si;
Alfonso;id=1694;General De División D. Alfonso Armada Comyn;id=1726;100.0;si;
Alfonso;id=1694;General De División D. Alfonso Armada Y Comin;id=1822;100.0;si;
Alfonso Armada Comyn;id=1725;Armada;id=1822;100.0;no;Termino generico/hub detectado automaticamente
Alfonso Armada Comyn;id=1725;Don Alfonso Armada Comyn;id=1724;100.0;si;
Alfonso Armada Comyn;id=1725;General Armada;id=1856 | id=1854 | id=1850 | id=1849 | id=1847 | id=1840 | id=1838 | id=1835 | id=1831 | id=1829 | id=1826 | id=1824 | id=1822 | id=1817 | id=1816 | id=1811 | id=1810 | id=1809 | id=1715 | id=1707 | id=1702 | id=1695;100.0;si;
Alfonso Armada Comyn;id=1725;General Armada Comyn;id=1821;100.0;si;
Alfonso Armada Comyn;id=1725;General De División Armada;id=1716;100.0;no;Termino generico/hub detectado automaticamente
Alfonso Armada Comyn;id=1725;General De División D. Alfonso Armada Comyn;id=1726;100.0;si;
Algunos De Los Procesados En El Juicio Por El Intento De Golpe Militar De 23 De Febrero De 1981;id=1770;Los Procesados;id=1854;100.0;si;
Algunos De Los Procesados En El Juicio Por El Intento De Golpe Militar De 23 De Febrero De 1981;id=1770;Procesados;id=1858 | id=1851 | id=1837 | id=1835 | id=1800 | id=1799 | id=1702;100.0;si;
Antonio;id=1699;Antonio Filipe Reguina Pardal;id=1760;100.0;no;
Antonio;id=1699;Antonio Villaviciosa;id=1694;100.0;no;
Antonio;id=1699;Ilmos Sres. D. Antonio Tejero Molina;id=1735;100.0;si;
Antonio;id=1699;Jose Antonio Assiego;id=1704;100.0;no;
Antonio;id=1699;José Antonio Saenz De Santa María Y Tinturé;id=1721;100.0;no;
Antonio;id=1699;Sr. D. Antonio Garibay;id=1697;100.0;no;
Antonio;id=1699;Teniente Coronel De La Guardia Civil Don Antonio Tejero Molina;id=1738;100.0;si;
Antonio;id=1699;Teniente Coronel Don Antonio Tejero Molina;id=1723 | id=1712;100.0;si;
Antonio;id=1699;Teniente D. Antonio Hernández Griño  Defensor;id=1813;100.0;no;
Antonio;id=1699;Teniente D. Antonio Hernández Griñó;id=1812;100.0;no;
Antonio Villaviciosa;id=1694;Villaviciosa;id=1696;100.0;si;
Armada;id=1822;Comandante De Intendencia De La Armada Nuñez Simón;id=1826;100.0;no;Termino generico/hub detectado automaticamente
Armada;id=1822;Don Alfonso Armada Comyn;id=1724;100.0;si;
Armada;id=1822;El Almirante Sefo Del Estado Mayor De La Armada Saturnino Suanzes;id=1738;100.0;no;Termino generico/hub detectado automaticamente
Armada;id=1822;El General Armada;id=1855 | id=1817;100.0;si;
Armada;id=1822;El Letrado Sr. Hermosilla  Defensor Del General Armada;id=1856;100.0;no;Termino generico/hub detectado automaticamente
Armada;id=1822;Excmo. Sr. Almirante Jefe Del Estado Mayor De La Armada;id=1733;100.0;no;Termino generico/hub detectado automaticamente
Armada;id=1822;General Armada;id=1856 | id=1854 | id=1850 | id=1849 | id=1847 | id=1840 | id=1838 | id=1835 | id=1831 | id=1829 | id=1826 | id=1824 | id=1822 | id=1817 | id=1816 | id=1811 | id=1810 | id=1809 | id=1715 | id=1707 | id=1702 | id=1695;100.0;si;
Armada;id=1822;General Armada Comyn;id=1821;100.0;si;
Armada;id=1822;General De División Armada;id=1716;100.0;no;Termino generico/hub detectado automaticamente
