origen,destino,tipo,relacion_original,negada,documento_id,documento_fecha,frase_evidencia
La Sala,Testigos,SOLICITA,SOLICITA,True,1860,1982-02-20,"Al parecer existía un acuerdo informal de la SALA para permitir la lectura parcial de diligencias, así como no solicitar la lectura de declaraciones de personas citadas como testigos a la vista oral."
DOC_1860,La Sala,MENCIONA,MENCIONA_DOCUMENTO,False,1860,1982-02-20,
DOC_1860,Testigos,MENCIONA,MENCIONA_DOCUMENTO,False,1860,1982-02-20,
Procesados,REINA,PROPONE,PROPONE,False,1860,1982-02-20,Teniente Coronel Tejero  - Continúa invocándose el protagonismo del REY y paralelamente el de la REINA; se afirma tenían conocimiento de lo que se proponían realizar los procesados.
DOC_1860,Procesados,MENCIONA,MENCIONA_DOCUMENTO,False,1860,1982-02-20,
DOC_1860,REINA,MENCIONA,MENCIONA_DOCUMENTO,False,1860,1982-02-20,
Procesados,REINA,CONOCE,CONOCE,False,1860,1982-02-20,Teniente Coronel Tejero  - Continúa invocándose el protagonismo del REY y paralelamente el de la REINA; se afirma tenían conocimiento de lo que se proponían realizar los procesados.
Procesados,Teniente Coronel De Infantería Don Pedro Mas Oliver,PROPONE,PROPONE,False,1860,1982-02-20,Teniente Coronel Tejero  - Continúa invocándose el protagonismo del REY y paralelamente el de la REINA; se afirma tenían conocimiento de lo que se proponían realizar los procesados.
DOC_1860,Teniente Coronel De Infantería Don Pedro Mas Oliver,MENCIONA,MENCIONA_DOCUMENTO,False,1860,1982-02-20,
Procesados,Teniente Coronel De Infantería Don Pedro Mas Oliver,CONOCE,CONOCE,False,1860,1982-02-20,Teniente Coronel Tejero  - Continúa invocándose el protagonismo del REY y paralelamente el de la REINA; se afirma tenían conocimiento de lo que se proponían realizar los procesados.
REINA,Teniente Coronel De Infantería Don Pedro Mas Oliver,PROPONE,PROPONE,False,1860,1982-02-20,Teniente Coronel Tejero  - Continúa invocándose el protagonismo del REY y paralelamente el de la REINA; se afirma tenían conocimiento de lo que se proponían realizar los procesados.
REINA,Teniente Coronel De Infantería Don Pedro Mas Oliver,CONOCE,CONOCE,False,1860,1982-02-20,Teniente Coronel Tejero  - Continúa invocándose el protagonismo del REY y paralelamente el de la REINA; se afirma tenían conocimiento de lo que se proponían realizar los procesados.
Ministerio Fiscal,Teniente Coronel De Infantería Don Pedro Mas Oliver,SOLICITA,SOLICITA,False,1859,1982-02-22,- El Ministerio Fiscal solicita la lectura de: - Diligencia careo del Teniente Coronel Inf.
DOC_1859,Ministerio Fiscal,MENCIONA,MENCIONA_DOCUMENTO,False,1859,1982-02-22,
DOC_1859,Teniente Coronel De Infantería Don Pedro Mas Oliver,MENCIONA,MENCIONA_DOCUMENTO,False,1859,1982-02-22,
Comandante Pardo,Ministerio Fiscal,SOLICITA,SOLICITA,False,1859,1982-02-22,- El Ministerio Fiscal solicita la lectura de: - Cuarta declaración del Comandante PARDO.
DOC_1859,Comandante Pardo,MENCIONA,MENCIONA_DOCUMENTO,False,1859,1982-02-22,
Capitán,Ministerio Fiscal,SOLICITA,SOLICITA,False,1859,1982-02-22,- El Ministerio Fiscal solicita la lectura de:  - Segunda declaración del Capitán de Artillería D.
DOC_1859,Capitán,MENCIONA,MENCIONA_DOCUMENTO,False,1859,1982-02-22,
Abogado,Capitán,SOLICITA,SOLICITA,False,1859,1982-02-22,Intervención del abogado defensor del Capitán BATISTA: pide se lea el encabezamiento íntegro de la declaración.
DOC_1859,Abogado,MENCIONA,MENCIONA_DOCUMENTO,False,1859,1982-02-22,
Abogado,Defensor,SOLICITA,SOLICITA,False,1859,1982-02-22,Intervención del abogado defensor del Capitán BATISTA: pide se lea el encabezamiento íntegro de la declaración.
DOC_1859,Defensor,MENCIONA,MENCIONA_DOCUMENTO,False,1859,1982-02-22,
Capitán,Defensor,SOLICITA,SOLICITA,False,1859,1982-02-22,Intervención del abogado defensor del Capitán BATISTA: pide se lea el encabezamiento íntegro de la declaración.
Abogado,Defensor,SOLICITA,SOLICITA,False,1859,1982-02-22,Abogado defensor pide se lea el día de la anterior declaración.
Capitán,Ministerio Fiscal,SOLICITA,SOLICITA,False,1859,1982-02-22,- 3 -  - El Ministerio Fiscal solicita la lectura de: - Primera declaración del Capitán de Intendencia D.
Capitán,Defensores,SOLICITA,SOLICITA,False,1859,1982-02-22,"- Durante la lectura de las diligencias que afectan al Capitán - DUSMET y Capitán PASCUAL, sus respectivos defensores han solicitado especificaciones sobre fechas y circunstancias en que fueron tomadas las mismas."
DOC_1859,Defensores,MENCIONA,MENCIONA_DOCUMENTO,False,1859,1982-02-22,
Capitán,Defensores,MENCIONA,MENCIONA,False,1859,1982-02-22,"- Durante la lectura de las diligencias que afectan al Capitán - DUSMET y Capitán PASCUAL, sus respectivos defensores han solicitado especificaciones sobre fechas y circunstancias en que fueron tomadas las mismas."
Capitán,Comandante Cortina,CONOCE,CONOCE,True,1859,1982-02-22,"De las diligencias de hoy, para el público asistente que no conoce con detalle el Sumario, ha podido apreciarse en versión de los propios procesados lo siguiente:  - Comandante CORTINA y Capitán GOMEZ IGLESIAS: niegan todo contacto o participación conspirativa con el resto de procesados."
DOC_1859,Comandante Cortina,MENCIONA,MENCIONA_DOCUMENTO,False,1859,1982-02-22,
Capitán,Comandante Cortina,NIEGA,NIEGA,False,1859,1982-02-22,"De las diligencias de hoy, para el público asistente que no conoce con detalle el Sumario, ha podido apreciarse en versión de los propios procesados lo siguiente:  - Comandante CORTINA y Capitán GOMEZ IGLESIAS: niegan todo contacto o participación conspirativa con el resto de procesados."
Capitán,Procesados,CONOCE,CONOCE,True,1859,1982-02-22,"De las diligencias de hoy, para el público asistente que no conoce con detalle el Sumario, ha podido apreciarse en versión de los propios procesados lo siguiente:  - Comandante CORTINA y Capitán GOMEZ IGLESIAS: niegan todo contacto o participación conspirativa con el resto de procesados."
DOC_1859,Procesados,MENCIONA,MENCIONA_DOCUMENTO,False,1859,1982-02-22,
Capitán,Procesados,NIEGA,NIEGA,False,1859,1982-02-22,"De las diligencias de hoy, para el público asistente que no conoce con detalle el Sumario, ha podido apreciarse en versión de los propios procesados lo siguiente:  - Comandante CORTINA y Capitán GOMEZ IGLESIAS: niegan todo contacto o participación conspirativa con el resto de procesados."
Capitán,Público Asistente,CONOCE,CONOCE,True,1859,1982-02-22,"De las diligencias de hoy, para el público asistente que no conoce con detalle el Sumario, ha podido apreciarse en versión de los propios procesados lo siguiente:  - Comandante CORTINA y Capitán GOMEZ IGLESIAS: niegan todo contacto o participación conspirativa con el resto de procesados."
DOC_1859,Público Asistente,MENCIONA,MENCIONA_DOCUMENTO,False,1859,1982-02-22,
Capitán,Público Asistente,NIEGA,NIEGA,False,1859,1982-02-22,"De las diligencias de hoy, para el público asistente que no conoce con detalle el Sumario, ha podido apreciarse en versión de los propios procesados lo siguiente:  - Comandante CORTINA y Capitán GOMEZ IGLESIAS: niegan todo contacto o participación conspirativa con el resto de procesados."
Capitán,Sumario,CONOCE,CONOCE,True,1859,1982-02-22,"De las diligencias de hoy, para el público asistente que no conoce con detalle el Sumario, ha podido apreciarse en versión de los propios procesados lo siguiente:  - Comandante CORTINA y Capitán GOMEZ IGLESIAS: niegan todo contacto o participación conspirativa con el resto de procesados."
DOC_1859,Sumario,MENCIONA,MENCIONA_DOCUMENTO,False,1859,1982-02-22,
Capitán,Sumario,NIEGA,NIEGA,False,1859,1982-02-22,"De las diligencias de hoy, para el público asistente que no conoce con detalle el Sumario, ha podido apreciarse en versión de los propios procesados lo siguiente:  - Comandante CORTINA y Capitán GOMEZ IGLESIAS: niegan todo contacto o participación conspirativa con el resto de procesados."
Comandante Cortina,Procesados,CONOCE,CONOCE,True,1859,1982-02-22,"De las diligencias de hoy, para el público asistente que no conoce con detalle el Sumario, ha podido apreciarse en versión de los propios procesados lo siguiente:  - Comandante CORTINA y Capitán GOMEZ IGLESIAS: niegan todo contacto o participación conspirativa con el resto de procesados."
